"winner","round_type","ct","t"
"ct","NORMAL",31300,21650
"ct","NORMAL",31250,22650
"ct","FORCE_BUY",30850,14500
"ct","FORCE_BUY",31900,18100
"t","PISTOL_ROUND",4300,3350
"t","PISTOL_ROUND",7700,16950
"t","ECO",3100,18050
"t","NORMAL",20000,24400
"t","FORCE_BUY",11850,26000
"t","PISTOL_ROUND",4450,4400
"t","ECO",6150,17150
"t","ECO",1100,20050
"t","NORMAL",24150,26250
"t","ECO",8850,30150
"ct","NORMAL",28600,28500
"t","NORMAL",32350,25850
"t","NORMAL",13450,18400
"t","ECO",6600,26300
"ct","NORMAL",22900,22500
"ct","ECO",24400,7750
"ct","ECO",25800,3850
"ct","NORMAL",28350,28250
"t","ECO",30150,5650
"ct","NORMAL",31300,26650
"ct","PISTOL_ROUND",3950,3950
"t","ECO",17800,6500
"t","ECO",6600,18700
"t","ECO",2750,24400
"ct","NORMAL",25300,26700
"ct","NORMAL",22750,22800
"ct","NORMAL",27350,23200
"ct","ECO",28600,9850
"t","ECO",32000,7300
"t","NORMAL",27550,23200
"t","ECO",3400,26600
"ct","NORMAL",21800,26600
"t","NORMAL",23650,17550
"t","ECO",1300,25200
"ct","NORMAL",23250,28450
"ct","PISTOL_ROUND",4400,4250
"ct","ECO",18450,6350
"ct","ECO",18450,2750
"t","NORMAL",23750,22500
"t","FORCE_BUY",12550,21500
"ct","ECO",6400,25050
"ct","ECO",30350,5500
"ct","NORMAL",25650,24250
"ct","ECO",30450,6850
"t","NORMAL",29700,24600
"ct","NORMAL",19900,28850
"t","NORMAL",23400,26350
"t","SEMI_ECO",12100,27250
"t","ECO",7650,22650
"t","FORCE_BUY",16800,30300
"ct","PISTOL_ROUND",3800,4550
"t","FORCE_BUY",15950,7350
"ct","FORCE_BUY",11700,19850
"ct","ECO",25250,8200
"t","ECO",25900,6050
"ct","NORMAL",22200,28300
"ct","NORMAL",27300,23450
"ct","ECO",30050,6700
"ct","NORMAL",32500,22450
"t","ECO",33100,10350
"t","NORMAL",19100,30250
"t","ECO",3800,30150
"t","NORMAL",23600,30850
"t","SEMI_ECO",11900,31200
"ct","NORMAL",27100,32850
"t","PISTOL_ROUND",4300,3650
"t","SEMI_ECO",7000,17450
"t","ECO",1300,21700
"t","NORMAL",23350,18050
"t","ECO",2400,25400
"ct","NORMAL",24700,26100
"t","FORCE_BUY",32850,15800
"t","NORMAL",23350,31550
"t","ECO",3750,25900
"t","SEMI_ECO",12400,30500
"t","NORMAL",23400,27050
"t","ECO",8450,26950
"ct","FORCE_BUY",17350,29200
"ct","NORMAL",31450,26950
"t","FORCE_BUY",30400,14800
"t","PISTOL_ROUND",2950,4350
"ct","SEMI_ECO",5950,15300
"t","ECO",20950,3950
"t","ECO",3750,23400
"t","ECO",1200,27650
"t","NORMAL",20200,29850
"ct","FORCE_BUY",15150,30800
"t","NORMAL",24500,22050
"t","ECO",7850,26450
"t","ECO",1800,30500
"t","FORCE_BUY",15950,29050
"ct","FORCE_BUY",12550,27550
"t","NORMAL",20950,27050
"t","ECO",6700,25300
"t","NORMAL",17300,28350
"t","NORMAL",19100,26150
"ct","NORMAL",33200,27850
"t","NORMAL",34100,30200
"t","NORMAL",32200,27450
"ct","NORMAL",30900,25250
"ct","NORMAL",33000,27550
"ct","PISTOL_ROUND",4300,4250
"ct","ECO",19100,1100
"ct","NORMAL",24650,21900
"ct","ECO",21800,4200
"ct","NORMAL",29200,19850
"t","FORCE_BUY",29400,15000
"t","NORMAL",27750,21200
"t","ECO",3050,24800
"t","ECO",2550,25800
"t","NORMAL",22950,20650
"t","NORMAL",14950,24750
"ct","NORMAL",15800,24250
"t","NORMAL",24350,24200
"t","NORMAL",12650,20650
"t","NORMAL",4300,4350
"t","PISTOL_ROUND",7100,18500
"t","ECO",1000,20850
"t","NORMAL",18500,23500
"t","ECO",5700,24700
"ct","NORMAL",26800,24800
"t","NORMAL",24300,20700
"t","ECO",4500,27350
"t","SEMI_ECO",10050,25400
"t","FORCE_BUY",15600,26400
"t","PISTOL_ROUND",3650,3600
"t","NORMAL",7650,12350
"t","ECO",1000,19450
"t","NORMAL",22750,24800
"t","ECO",2600,27450
"t","NORMAL",29450,26750
"t","ECO",5750,30300
"t","NORMAL",30800,30000
"t","ECO",5200,29600
"ct","NORMAL",30800,30700
"t","NORMAL",28550,31000
"t","ECO",2750,28450
"t","FORCE_BUY",14300,28650
"ct","FORCE_BUY",16100,30600
"ct","NORMAL",27400,30400
"t","PISTOL_ROUND",4300,3800
"ct","SEMI_ECO",7550,17850
"ct","ECO",18200,6000
"t","SEMI_ECO",27200,11000
"t","ECO",3600,25750
"t","ECO",1300,22450
"t","NORMAL",24500,30900
"t","ECO",2300,28950
"ct","NORMAL",27550,28850
"ct","NORMAL",28800,27750
"t","ECO",5950,16500
"t","ECO",2000,16600
"ct","NORMAL",23450,26650
"t","NORMAL",18350,24450
"t","ECO",3200,27750
"t","ECO",4900,24800
"t","NORMAL",22300,27250
"t","SEMI_ECO",11650,27750
"t","NORMAL",24100,27750
"t","SEMI_ECO",12200,27650
"ct","NORMAL",22700,29600
"ct","NORMAL",28050,26750
"t","NORMAL",25600,22500
"t","FORCE_BUY",13100,25050
"t","PISTOL_ROUND",4250,4250
"t","ECO",6900,20500
"ct","ECO",1600,18800
"ct","ECO",29850,9400
"ct","SEMI_ECO",25900,11500
"ct","FORCE_BUY",27600,13550
"t","PISTOL_ROUND",3600,4300
"t","FORCE_BUY",6300,12900
"t","ECO",1400,14550
"ct","NORMAL",24750,25950
"ct","NORMAL",28000,24900
"ct","ECO",29850,2700
"ct","NORMAL",32250,23900
"t","ECO",31050,3250
"t","NORMAL",28100,26650
"t","SEMI_ECO",11150,28400
"t","ECO",4650,29300
"ct","NORMAL",28600,24750
"t","NORMAL",30500,19000
"t","NORMAL",26150,26050
"t","FORCE_BUY",13550,27350
"ct","PISTOL_ROUND",4300,3700
"ct","ECO",17250,1400
"ct","NORMAL",22700,20600
"ct","ECO",31650,2300
"t","NORMAL",29750,23700
"ct","NORMAL",28100,27500
"t","NORMAL",25850,19800
"t","ECO",3100,21700
"t","ECO",4100,24950
"t","NORMAL",27900,26950
"ct","ECO",9250,27750
"ct","PISTOL_ROUND",3700,4150
"t","ECO",18250,5800
"t","FORCE_BUY",7900,15900
"t","ECO",3050,23050
"t","NORMAL",21000,27550
"t","ECO",4950,27600
"t","NORMAL",29850,27750
"t","FORCE_BUY",15750,26450
"ct","NORMAL",25900,26150
"ct","FORCE_BUY",32500,17850
"ct","ECO",33450,8700
"ct","ECO",35050,10050
"ct","NORMAL",29900,19300
"t","FORCE_BUY",33650,18150
"ct","NORMAL",27850,24050
"t","PISTOL_ROUND",3950,4150
"t","ECO",3850,18400
"t","ECO",3200,20800
"ct","NORMAL",20400,23750
"ct","NORMAL",25900,23150
"ct","NORMAL",29650,18700
"ct","ECO",30750,7300
"ct","NORMAL",30550,18950
"t","NORMAL",32700,23950
"t","NORMAL",33550,21700
"ct","NORMAL",28500,25850
"ct","NORMAL",18400,17600
"ct","FORCE_BUY",24550,12950
"t","PISTOL_ROUND",4400,3950
"ct","SEMI_ECO",7600,19000
"ct","SEMI_ECO",22600,8950
"t","ECO",26700,3600
"t","SEMI_ECO",11300,26100
"t","ECO",1300,24000
"ct","NORMAL",22650,26050
"t","NORMAL",18400,24150
"t","ECO",8550,26350
"t","ECO",1500,22950
"t","NORMAL",22400,26550
"t","ECO",4750,26350
"t","NORMAL",31600,22850
"t","NORMAL",19050,29700
"t","NORMAL",19900,30300
"t","PISTOL_ROUND",3600,4200
"ct","SEMI_ECO",7650,17500
"ct","SEMI_ECO",20400,9000
"ct","ECO",26900,9400
"ct","FORCE_BUY",28500,14800
"t","PISTOL_ROUND",4400,3550
"t","ECO",3850,16350
"t","ECO",1600,19800
"ct","NORMAL",23900,27050
"ct","NORMAL",30100,21650
"t","FORCE_BUY",27050,12500
"t","ECO",5500,25850
"t","ECO",1200,27450
"ct","NORMAL",21450,27650
"t","NORMAL",24500,23600
"t","ECO",2200,24300
"t","ECO",6850,24300
"ct","NORMAL",25500,20600
"t","FORCE_BUY",29650,16400
"t","NORMAL",13450,21400
"ct","PISTOL_ROUND",4250,3650
"ct","FORCE_BUY",19000,10750
"ct","FORCE_BUY",21450,12400
"ct","SEMI_ECO",25900,10550
"ct","NORMAL",24950,17450
"ct","PISTOL_ROUND",4450,4250
"t","ECO",20050,7250
"ct","NORMAL",18400,20550
"ct","FORCE_BUY",21600,10750
"ct","ECO",27650,3650
"ct","NORMAL",31650,24400
"t","NORMAL",30900,21400
"t","ECO",9000,25550
"t","ECO",3850,26650
"ct","NORMAL",23000,27850
"ct","NORMAL",27400,26850
"ct","SEMI_ECO",29100,11850
"ct","FORCE_BUY",28800,14500
"ct","ECO",30700,7300
"t","NORMAL",30450,28000
"ct","PISTOL_ROUND",4250,4500
"ct","SEMI_ECO",18900,7450
"ct","ECO",22150,2300
"ct","NORMAL",31150,22000
"ct","ECO",29700,9950
"ct","NORMAL",29100,23850
"ct","SEMI_ECO",32750,13200
"t","NORMAL",33750,23450
"ct","NORMAL",28500,27250
"ct","FORCE_BUY",29400,13850
"ct","SEMI_ECO",29350,11850
"t","FORCE_BUY",25150,14550
"t","ECO",6350,24850
"ct","ECO",5400,25350
"t","PISTOL_ROUND",4250,3700
"t","ECO",2800,14800
"ct","ECO",1200,21750
"ct","ECO",28450,7300
"ct","ECO",28350,8700
"ct","ECO",30050,5450
"ct","NORMAL",32400,28150
"ct","ECO",32700,3350
"ct","NORMAL",33600,27450
"ct","FORCE_BUY",28550,13600
"ct","NORMAL",32600,28550
"ct","ECO",33200,10000
"ct","NORMAL",33100,22600
"t","FORCE_BUY",29700,14750
"ct","NORMAL",28850,26950
"t","PISTOL_ROUND",3100,3550
"t","SEMI_ECO",6550,17000
"t","ECO",5800,20600
"t","FORCE_BUY",12350,24400
"ct","PISTOL_ROUND",4300,3650
"ct","ECO",15450,2000
"t","NORMAL",19350,20850
"t","FORCE_BUY",10900,19900
"t","ECO",3100,25500
"t","NORMAL",28150,24100
"t","ECO",3700,21200
"ct","NORMAL",28150,28500
"t","NORMAL",27300,25000
"t","NORMAL",20950,27100
"t","ECO",2400,29300
"ct","NORMAL",25700,29400
"ct","NORMAL",24900,28100
"ct","NORMAL",30950,26050
"ct","NORMAL",34200,24350
"ct","PISTOL_ROUND",4300,4300
"ct","ECO",16600,1700
"ct","NORMAL",25550,19050
"t","ECO",31150,9650
"t","NORMAL",18800,25800
"t","ECO",1500,27250
"t","NORMAL",22550,27250
"t","ECO",4350,27450
"t","NORMAL",29400,25400
"ct","FORCE_BUY",13800,26950
"ct","NORMAL",27900,21150
"ct","ECO",21400,2200
"ct","NORMAL",28100,24700
"t","NORMAL",27450,19050
"t","NORMAL",13900,21550
"ct","PISTOL_ROUND",4350,4100
"t","SEMI_ECO",17650,7550
"t","SEMI_ECO",7150,17750
"t","ECO",1500,22650
"ct","NORMAL",26050,26150
"ct","NORMAL",26150,21450
"ct","ECO",34050,11250
"ct","ECO",30250,5150
"t","FORCE_BUY",32950,17950
"t","FORCE_BUY",12950,23750
"t","ECO",2400,26100
"ct","NORMAL",22500,25900
"ct","ECO",24300,3950
"t","NORMAL",4400,3950
"t","SEMI_ECO",6650,16300
"t","PISTOL_ROUND",1000,18950
"t","NORMAL",23550,21650
"t","ECO",6800,27550
"t","NORMAL",27100,26650
"t","NORMAL",17100,24350
"ct","NORMAL",19900,27950
"ct","NORMAL",23300,29300
"ct","NORMAL",23600,26150
"t","FORCE_BUY",24600,11200
"ct","PISTOL_ROUND",4300,3900
"ct","ECO",18600,6050
"ct","ECO",22500,5500
"ct","FORCE_BUY",26700,14300
"ct","NORMAL",29750,21650
"ct","ECO",31850,6250
"ct","FORCE_BUY",32850,19050
"ct","ECO",34100,7500
"ct","NORMAL",34000,20450
"t","NORMAL",29950,25850
"ct","NORMAL",28700,22950
"ct","ECO",26100,4200
"ct","FORCE_BUY",25650,12000
"ct","FORCE_BUY",27300,14000
"ct","PISTOL_ROUND",3900,4200
"ct","PISTOL_ROUND",22050,1900
"ct","NORMAL",28600,24600
"t","ECO",30500,5450
"t","FORCE_BUY",14000,30150
"ct","PISTOL_ROUND",4350,4350
"ct","ECO",21050,2300
"ct","NORMAL",25400,21800
"ct","ECO",29700,7800
"t","NORMAL",31850,25450
"ct","NORMAL",31150,27050
"ct","NORMAL",24350,18900
"ct","ECO",31800,2500
"t","NORMAL",33600,23450
"t","NORMAL",25550,29200
"t","NORMAL",24900,29300
"ct","ECO",3400,29700
"t","NORMAL",32600,27250
"ct","NORMAL",24500,25000
"ct","FORCE_BUY",32350,14950
"ct","PISTOL_ROUND",4100,4350
"t","FORCE_BUY",21150,12150
"ct","NORMAL",15800,20900
"t","NORMAL",24700,17600
"ct","FORCE_BUY",12600,25900
"ct","NORMAL",28800,21800
"ct","ECO",29950,4400
"t","NORMAL",31400,23900
"t","NORMAL",22650,18350
"ct","NORMAL",23450,27750
"t","NORMAL",29100,25050
"t","FORCE_BUY",11000,24150
"ct","PISTOL_ROUND",3600,4350
"ct","ECO",18700,5100
"ct","ECO",17600,1100
"ct","NORMAL",26950,24750
"ct","NORMAL",28250,22600
"ct","NORMAL",26200,23300
"ct","ECO",27900,8050
"t","NORMAL",31150,22300
"t","NORMAL",22950,20400
"t","ECO",1200,19900
"ct","NORMAL",24250,24700
"ct","NORMAL",24250,26050
"ct","ECO",30550,9300
"ct","FORCE_BUY",31550,16400
"ct","SEMI_ECO",35650,14200
"t","PISTOL_ROUND",4350,4100
"t","SEMI_ECO",7200,17350
"t","NORMAL",13800,22400
"ct","FORCE_BUY",13800,25600
"ct","ECO",24150,4800
"ct","ECO",28850,3950
"ct","NORMAL",30600,24750
"ct","ECO",34200,7350
"t","NORMAL",34500,26300
"ct","PISTOL_ROUND",4350,4300
"ct","ECO",16550,4450
"ct","NORMAL",20800,17300
"ct","ECO",25500,4300
"t","NORMAL",29200,21850
"t","NORMAL",30150,20250
"t","ECO",3150,25350
"t","NORMAL",22000,29900
"t","ECO",5950,31500
"ct","NORMAL",27000,31650
"t","NORMAL",31450,27750
"t","ECO",4700,26650
"t","NORMAL",18250,28500
"t","ECO",5750,30650
"t","NORMAL",23250,29500
"ct","PISTOL_ROUND",4400,4200
"ct","ECO",16350,4000
"t","NORMAL",24300,23400
"ct","ECO",7800,23300
"t","SEMI_ECO",30550,13600
"ct","SEMI_ECO",12400,30400
"ct","NORMAL",24050,20900
"t","ECO",25950,9000
"t","NORMAL",14100,19000
"t","SEMI_ECO",12050,27850
"t","ECO",3950,30300
"t","NORMAL",26400,27750
"t","ECO",4850,27850
"t","NORMAL",29900,29250
"t","NORMAL",20050,31150
"ct","NORMAL",27400,27050
"ct","NORMAL",33250,28800
"t","NORMAL",34850,26650
"t","NORMAL",34000,29350
"ct","NORMAL",32150,29500
"t","NORMAL",34300,33350
"t","PISTOL_ROUND",4250,4250
"t","FORCE_BUY",7850,15950
"t","ECO",2050,19450
"t","NORMAL",22200,24900
"t","ECO",4100,27850
"t","NORMAL",27700,26350
"t","NORMAL",16750,26250
"t","NORMAL",21150,21350
"ct","SEMI_ECO",12600,28650
"t","NORMAL",28300,26450
"t","FORCE_BUY",14050,26850
"t","NORMAL",16000,22750
"t","FORCE_BUY",14950,27050
"t","NORMAL",20400,27150
"t","NORMAL",20750,28200
"t","PISTOL_ROUND",3600,4350
"ct","ECO",6200,20000
"t","SEMI_ECO",18850,7600
"t","ECO",6750,20050
"t","ECO",2850,24700
"t","NORMAL",19400,26100
"t","NORMAL",17400,25000
"ct","NORMAL",21650,27150
"t","PISTOL_ROUND",4050,4300
"t","ECO",6600,19150
"t","ECO",1000,20350
"t","NORMAL",23600,26150
"t","ECO",3850,28450
"t","NORMAL",28100,28350
"t","NORMAL",21500,25650
"ct","ECO",6850,27750
"t","NORMAL",29650,26500
"t","FORCE_BUY",14300,30500
"t","ECO",8100,31000
"t","FORCE_BUY",17100,29250
"t","FORCE_BUY",16450,30900
"t","FORCE_BUY",17400,30800
"t","NORMAL",20400,27000
"t","PISTOL_ROUND",4300,4300
"ct","FORCE_BUY",8250,15300
"ct","FORCE_BUY",25350,13850
"t","PISTOL_ROUND",4450,4350
"t","ECO",5700,19400
"ct","ECO",5250,22750
"t","ECO",27950,8850
"ct","ECO",3300,27450
"ct","ECO",32050,2100
"t","FORCE_BUY",32350,17200
"t","NORMAL",25000,19400
"t","ECO",8650,27600
"ct","NORMAL",23200,29700
"t","FORCE_BUY",31450,18700
"t","ECO",5400,21200
"ct","NORMAL",18200,27250
"ct","NORMAL",18700,14150
"ct","SEMI_ECO",26300,10850
"ct","PISTOL_ROUND",4250,4250
"ct","ECO",20150,1700
"ct","NORMAL",24500,21300
"ct","ECO",28100,3200
"ct","NORMAL",29400,25250
"ct","NORMAL",31150,19200
"ct","ECO",31650,10300
"ct","FORCE_BUY",29600,17400
"ct","PISTOL_ROUND",4350,3600
"ct","ECO",15550,5300
"ct","ECO",19600,1500
"ct","FORCE_BUY",28900,14300
"ct","ECO",30400,8400
"ct","ECO",30600,10700
"ct","FORCE_BUY",28450,15250
"ct","SEMI_ECO",28850,12500
"t","NORMAL",29700,18600
"t","NORMAL",23100,23000
"ct","NORMAL",22800,26400
"t","FORCE_BUY",23600,11850
"t","ECO",6250,28350
"t","ECO",2200,29000
"t","NORMAL",23700,23600
"t","SEMI_ECO",7150,17850
"ct","ECO",4350,21750
"t","NORMAL",21200,23750
"t","SEMI_ECO",11850,26950
"t","ECO",3800,24750
"ct","NORMAL",17100,24900
"t","NORMAL",23150,20700
"ct","FORCE_BUY",11400,24050
"ct","ECO",25450,7400
"t","ECO",28050,2550
"ct","PISTOL_ROUND",3750,3650
"t","FORCE_BUY",17750,8200
"ct","FORCE_BUY",11050,20100
"ct","FORCE_BUY",22850,11950
"ct","ECO",26900,4100
"ct","NORMAL",32250,22900
"t","ECO",31950,5250
"ct","NORMAL",27650,26300
"ct","NORMAL",22050,23600
"ct","ECO",24600,7000
"ct","NORMAL",21800,19500
"ct","SEMI_ECO",30200,11650
"ct","FORCE_BUY",31350,17650
"ct","NORMAL",33400,21500
"t","FORCE_BUY",32350,16200
"ct","PISTOL_ROUND",4300,4450
"t","ECO",19500,6050
"ct","ECO",7950,23650
"t","SEMI_ECO",23050,10250
"t","NORMAL",15050,24250
"t","SEMI_ECO",10150,25100
"ct","PISTOL_ROUND",4200,4300
"t","ECO",16800,4450
"ct","FORCE_BUY",9100,15800
"t","NORMAL",21800,23800
"ct","FORCE_BUY",8950,17750
"ct","ECO",22400,4600
"ct","ECO",24450,1600
"t","NORMAL",24450,23950
"ct","NORMAL",16550,24650
"t","NORMAL",26950,17300
"ct","NORMAL",16600,17600
"ct","ECO",22950,4800
"t","NORMAL",23500,21000
"ct","NORMAL",21750,22500
"t","ECO",30650,10250
"ct","PISTOL_ROUND",4350,4200
"ct","ECO",17800,5150
"t","ECO",23350,4350
"t","ECO",5050,24800
"t","NORMAL",21850,22100
"ct","ECO",7800,24100
"t","NORMAL",27100,20850
"ct","NORMAL",16550,24500
"ct","NORMAL",23800,17500
"ct","FORCE_BUY",26600,13000
"ct","SEMI_ECO",29250,12400
"ct","FORCE_BUY",28800,14500
"ct","FORCE_BUY",31150,14950
"ct","FORCE_BUY",29650,13800
"ct","PISTOL_ROUND",4450,4250
"ct","ECO",19800,4000
"ct","ECO",22400,1100
"ct","NORMAL",30750,22300
"ct","ECO",31650,5300
"ct","NORMAL",31250,25750
"ct","FORCE_BUY",31750,18300
"ct","ECO",29500,7000
"t","NORMAL",31100,22950
"t","NORMAL",29100,28550
"t","NORMAL",24200,27650
"ct","ECO",7650,27650
"ct","NORMAL",29000,22650
"ct","ECO",30850,6800
"t","NORMAL",29700,23900
"ct","PISTOL_ROUND",4350,3950
"t","SEMI_ECO",14350,5600
"t","ECO",4600,20450
"t","NORMAL",14950,24050
"t","SEMI_ECO",9900,25450
"ct","NORMAL",22850,28250
"t","NORMAL",20700,23750
"t","PISTOL_ROUND",4250,4200
"t","ECO",6950,19200
"t","ECO",1300,20750
"ct","NORMAL",23950,22750
"t","NORMAL",29000,25650
"ct","FORCE_BUY",14150,23950
"ct","NORMAL",21150,19800
"ct","SEMI_ECO",28800,12250
"t","ECO",31150,10900
"t","NORMAL",22500,26250
"t","SEMI_ECO",8300,20550
"ct","SEMI_ECO",11850,26250
"ct","ECO",28550,3600
"t","FORCE_BUY",32150,18400
"t","NORMAL",19950,25850
"ct","PISTOL_ROUND",4350,4250
"t","ECO",19950,7250
"t","ECO",7800,24200
"t","ECO",1600,25950
"t","NORMAL",22550,26250
"t","ECO",4400,28550
"ct","NORMAL",27950,29450
"t","NORMAL",29050,27150
"ct","NORMAL",16750,27450
"t","FORCE_BUY",15800,26750
"t","ECO",3200,27550
"t","NORMAL",19250,27750
"ct","FORCE_BUY",14050,27350
"ct","NORMAL",25700,26150
"ct","NORMAL",22550,21100
"ct","PISTOL_ROUND",3350,3600
"ct","SEMI_ECO",15100,6150
"ct","ECO",18200,2100
"t","NORMAL",22100,23150
"t","NORMAL",30200,22450
"t","ECO",4900,21950
"t","NORMAL",16900,22650
"t","NORMAL",23550,22250
"t","ECO",7650,26150
"ct","NORMAL",30100,27450
"t","NORMAL",27350,18400
"ct","FORCE_BUY",13350,23250
"ct","ECO",30350,3650
"ct","NORMAL",31750,21350
"t","PISTOL_ROUND",4350,4150
"t","PISTOL_ROUND",3100,17300
"t","ECO",1500,19950
"t","NORMAL",25650,24400
"t","SEMI_ECO",11150,26850
"ct","NORMAL",25450,27300
"t","NORMAL",31400,25300
"t","NORMAL",19300,25550
"t","SEMI_ECO",11150,25050
"t","PISTOL_ROUND",3800,4400
"ct","ECO",6100,16150
"ct","ECO",20300,4400
"t","NORMAL",20450,21250
"ct","ECO",6850,26850
"t","NORMAL",27550,22300
"t","ECO",6000,21700
"ct","ECO",6400,25750
"ct","ECO",26000,1000
"t","NORMAL",26800,24300
"ct","FORCE_BUY",13250,24750
"ct","ECO",24350,3200
"t","NORMAL",28900,24100
"ct","NORMAL",16700,25850
"t","PISTOL_ROUND",4250,4200
"t","PISTOL_ROUND",4800,10950
"ct","ECO",4100,14400
"ct","NORMAL",26300,16000
"t","ECO",31950,2400
"ct","ECO",10350,28300
"ct","FORCE_BUY",27750,16050
"ct","ECO",31550,1500
"t","NORMAL",31400,19750
"ct","NORMAL",25950,26200
"t","NORMAL",26200,18150
"ct","ECO",2200,24550
"ct","ECO",29650,3900
"t","NORMAL",31350,19650
"ct","NORMAL",22450,25200
"t","NORMAL",25650,26150
"ct","NORMAL",31150,28300
"t","NORMAL",33000,27450
"ct","NORMAL",35850,26650
"t","NORMAL",38500,29200
"t","NORMAL",28550,27150
"ct","NORMAL",32000,28800
"t","NORMAL",36200,26950
"ct","NORMAL",34900,28450
"ct","NORMAL",31750,26050
"t","NORMAL",33200,26450
"ct","NORMAL",33000,28550
"t","FORCE_BUY",29950,15500
"t","NORMAL",30600,26750
"t","NORMAL",32050,21850
"t","NORMAL",37150,27150
"t","NORMAL",32050,27250
"ct","NORMAL",24200,27350
"ct","PISTOL_ROUND",4450,3750
"ct","ECO",15050,1300
"ct","NORMAL",21550,22200
"ct","ECO",30700,3150
"t","NORMAL",32350,25700
"ct","NORMAL",17500,21150
"ct","ECO",29850,6850
"ct","ECO",34500,4500
"ct","FORCE_BUY",32100,15350
"ct","FORCE_BUY",33400,17600
"ct","NORMAL",29600,25450
"t","FORCE_BUY",33500,19050
"t","SEMI_ECO",8800,21900
"t","ECO",2000,24450
"ct","NORMAL",24800,28900
"t","PISTOL_ROUND",3700,4300
"t","SEMI_ECO",8150,20050
"ct","SEMI_ECO",7400,18300
"ct","FORCE_BUY",21100,10850
"t","NORMAL",21200,24150
"ct","SEMI_ECO",10700,27550
"ct","ECO",22100,7450
"ct","NORMAL",28800,20450
"t","ECO",26150,9650
"t","SEMI_ECO",11800,27300
"ct","PISTOL_ROUND",4300,3450
"ct","ECO",19850,7050
"ct","ECO",23800,2300
"t","FORCE_BUY",28300,16700
"ct","NORMAL",24700,24300
"t","ECO",25350,4950
"ct","ECO",2800,25700
"ct","ECO",29900,5600
"ct","ECO",26400,3000
"t","NORMAL",32650,22350
"t","ECO",4000,21750
"t","NORMAL",26300,20200
"ct","FORCE_BUY",15100,28900
"ct","FORCE_BUY",29700,17150
"ct","PISTOL_ROUND",2650,4100
"ct","PISTOL_ROUND",17900,6800
"ct","ECO",18400,1100
"t","NORMAL",24500,22500
"t","NORMAL",17450,25800
"t","ECO",5800,28900
"t","NORMAL",18800,29400
"ct","FORCE_BUY",13950,28750
"ct","NORMAL",27450,19900
"ct","SEMI_ECO",29850,13200
"ct","ECO",30450,4700
"t","NORMAL",29000,29100
"ct","FORCE_BUY",12400,22150
"t","FORCE_BUY",29450,16600
"t","PISTOL_ROUND",4300,4250
"ct","ECO",6200,17650
"ct","ECO",24200,4100
"t","NORMAL",25850,19400
"t","ECO",3500,15900
"ct","NORMAL",20250,21300
"ct","FORCE_BUY",28300,16000
"ct","ECO",31050,4450
"t","NORMAL",34100,23300
"t","NORMAL",25350,27950
"t","ECO",7000,22650
"ct","NORMAL",25050,24800
"ct","NORMAL",27600,23750
"ct","ECO",32100,5050
"ct","FORCE_BUY",34150,18300
"ct","PISTOL_ROUND",4350,3650
"ct","FORCE_BUY",16150,8000
"ct","ECO",24850,1500
"ct","NORMAL",30500,24100
"ct","SEMI_ECO",31950,13100
"ct","FORCE_BUY",33700,19050
"t","NORMAL",31450,22800
"t","NORMAL",28350,22000
"ct","NORMAL",24100,24600
"t","ECO",29350,8900
"t","ECO",5700,23100
"t","ECO",5100,16900
"t","NORMAL",25900,26150
"ct","NORMAL",17250,22550
"t","NORMAL",28850,22850
"t","PISTOL_ROUND",3750,4300
"t","ECO",5200,13950
"t","ECO",1800,20200
"t","NORMAL",26050,22950
"t","ECO",2000,26150
"ct","NORMAL",29450,25850
"ct","ECO",31750,11800
"ct","ECO",29450,5750
"ct","NORMAL",34200,25350
"ct","ECO",30050,5950
"t","NORMAL",26150,26200
"t","ECO",5200,25150
"t","NORMAL",17050,24750
"t","ECO",6600,27250
"ct","NORMAL",27800,25950
"ct","PISTOL_ROUND",4000,3400
"ct","ECO",15650,3300
"ct","ECO",20250,1200
"ct","NORMAL",22050,14500
"ct","ECO",32300,10750
"ct","NORMAL",30600,19500
"ct","NORMAL",24550,18900
"ct","PISTOL_ROUND",4500,3650
"ct","ECO",18900,4300
"ct","ECO",21300,1300
"t","NORMAL",25600,18700
"ct","NORMAL",25800,20450
"ct","ECO",31200,6050
"ct","ECO",24300,6700
"t","FORCE_BUY",30350,16300
"t","ECO",4250,27100
"t","ECO",3950,27700
"t","NORMAL",18900,27850
"t","SEMI_ECO",12750,30100
"t","NORMAL",18400,30200
"t","ECO",6250,27750
"ct","NORMAL",29500,21750
"t","PISTOL_ROUND",3450,3550
"t","NORMAL",8250,11950
"t","ECO",1300,19900
"ct","NORMAL",23200,23500
"t","NORMAL",21500,25550
"t","SEMI_ECO",10050,23300
"t","ECO",1000,20700
"t","NORMAL",22800,25350
"t","NORMAL",16550,26850
"t","NORMAL",17750,26950
"t","PISTOL_ROUND",3000,3750
"ct","ECO",7250,19750
"ct","ECO",20200,7100
"ct","ECO",26000,6250
"ct","NORMAL",27850,23650
"t","ECO",27100,6600
"t","ECO",9250,26750
"ct","NORMAL",22100,22000
"ct","NORMAL",23650,18300
"t","ECO",20350,3600
"ct","SEMI_ECO",9850,24800
"t","NORMAL",27000,19350
"ct","FORCE_BUY",14250,24950
"ct","PISTOL_ROUND",4450,4100
"t","FORCE_BUY",16650,8100
"t","PISTOL_ROUND",4750,19700
